#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-12-07T20:02:09 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-07T20:02:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=V/50/catalog&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=B-V&-out=SpType&-out=NoteFlag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	NoteFlag	(A1)	[*] a star indicates that there is a note (see file notes)	[ucd=meta.note]
_RAJ2000|_DEJ2000|HR|Name|HD|ADS|VarID|RAJ2000|DEJ2000|Vmag|B-V|SpType|NoteFlag
212.812917|+32.295556|5310|          |124186|     |         |14 11 15.1|+32 17 44| 6.11| 1.26|  K4III             |
213.416250|-54.625833|5311|          |124195|     |V716 Cen |14 13 39.9|-54 37 33| 6.11| 0.05|  B5Ve              |*
213.191667|-27.261111|5312| 50    Hya|124206|     |         |14 12 46.0|-27 15 40| 5.08| 1.16|  K3III             |
213.065833| +2.409444|5313|          |124224| 9152|CU Vir   |14 12 15.8|+02 24 34| 5.01|-0.12|  A0VpSi            |*
213.305000|-26.612222|5314|          |124281|     |         |14 13 13.2|-26 36 44| 6.24| 1.08|  K0III             |
213.224167|-10.273611|5315| 98Kap Vir|124294|     |         |14 12 53.8|-10 16 25| 4.19| 1.33|  K2.5IIIFe-0.5     |*
213.737500|-57.085833|5316|          |124367|     |V795 Cen |14 14 57.0|-57 05 09| 5.07|-0.08|  B4Vne             |*
213.420000| -0.845556|5317|          |124425|     |Var      |14 13 40.8|-00 50 44| 5.91| 0.47|  F7V w             |*
213.677500|-41.837500|5318|          |124433|     |         |14 14 42.6|-41 50 15| 5.61| 0.93|  G8III             |
213.838333|-53.509722|5319|          |124454|     |         |14 15 21.2|-53 30 35| 6.39| 1.57|  K3III             |
214.160833|-66.587778|5320|          |124471|     |         |14 16 38.6|-66 35 16| 5.75|-0.06|  B1.5III           |*
212.212083|+77.547500|5321|  4    UMi|124547|     |         |14 08 50.9|+77 32 51| 4.82| 1.36|  K3III             |*
213.588750| -5.947500|5322|          |124553|     |         |14 14 21.3|-05 56 51| 6.36| 0.60|  F9V               |
213.521667|+12.959444|5323| 14    Boo|124570|     | 6597    |14 14 05.2|+12 57 34| 5.54| 0.54|  F6IV              |*
213.755417|-29.281944|5324|          |124576|     |         |14 15 01.3|-29 16 55| 6.08|     |  A1V               |
213.911667|-45.000833|5325|          |124580|     |         |14 15 38.8|-45 00 03| 6.31| 0.60|  F9V               |
214.142500|-59.913889|5326|          |124601|     |R Cen    |14 16 34.2|-59 54 50| 6.39| 2.04|  M5IIe             |*
216.097083|-82.848611|5327|          |124639|     |         |14 24 23.3|-82 50 55| 6.42| 0.02|  B8Ve              |
213.365417|+51.787778|5328| 17Kap1Boo|124674| 9173|         |14 13 27.7|+51 47 16| 6.69| 0.39|  F1V               |*
213.370833|+51.790278|5329| 17Kap2Boo|124675| 9173|Kap2 Boo |14 13 29.0|+51 47 25| 4.54| 0.20|  A8IV              |*
213.711667|+10.100556|5330| 15    Boo|124679|     |         |14 14 50.8|+10 06 02| 5.29| 1.00|  K1III             |*
213.720833| +3.336111|5331|          |124681|     |FS Vir   |14 14 53.0|+03 20 10| 6.45| 1.60|  M4IIIab           |*
213.850417|-18.200833|5332|          |124683|     |         |14 15 24.1|-18 12 03| 5.43|-0.03|  A1V               |*
213.670833|+21.873333|5333|          |124713|     |         |14 14 41.0|+21 52 24| 6.39| 0.18|  A7V               |
213.016667|+69.432500|5334|          |124730|     | 6593    |14 12 04.0|+69 25 57| 5.24| 1.58|  M2IIIab           |
213.597917|+41.518889|5335|          |124755|     |         |14 14 23.5|+41 31 08| 6.24| 1.04| gK3                |
215.594583|-80.108889|5336|   Eps Aps|124771|     |         |14 22 22.7|-80 06 32| 5.06|-0.10|  B4V               |*
214.076250|-33.241389|5337|          |124780|     |         |14 16 18.3|-33 14 29| 6.55| 0.30|  F0V               |
214.003750| -6.000556|5338| 99Iot Vir|124850|     | 6604    |14 16 00.9|-06 00 02| 4.08| 0.52|  F6III             |*
216.728750|-83.667778|5339|   Del Oct|124882|     | 6636    |14 26 54.9|-83 40 04| 4.32| 1.31|  K2III             |
213.915417|+19.182500|5340| 16Alp Boo|124897|     | 6603    |14 15 39.7|+19 10 57|-0.04| 1.23|  K1.5IIIFe-0.5     |*
214.089583| -6.621944|5341|          |124915|     |         |14 16 21.5|-06 37 19| 6.44| 0.28|  A9III             |
214.125417| -3.196389|5342|          |124931|     | 6608    |14 16 30.1|-03 11 47| 6.15|-0.01|  A1V               |
214.017500|+18.911944|5343|          |124953|     |CN Boo   |14 16 04.2|+18 54 43| 5.98| 0.26|  A8III             |*
214.265833|-18.585278|5344|          |124990|     |         |14 17 03.8|-18 35 07| 6.22| 0.98|  G5                |
213.820417|+52.535833|5345|          |125019|     |         |14 15 16.9|+52 32 09| 6.58| 0.10|  A4V               |
214.136667|+20.121389|5346|          |125040| 9192|         |14 16 32.8|+20 07 17| 6.25| 0.49|  F8V               |
214.100833|+39.744722|5347|          |125111|     |         |14 16 24.2|+39 44 41| 6.38| 0.36|  F2IV              |
214.599167|-33.220556|5348|          |125150|     |         |14 18 23.8|-33 13 14| 6.54| 0.27|  F0V               |
214.964583|-61.273056|5349|          |125158|     |         |14 19 51.5|-61 16 23| 5.23| 0.29|  Am                |*
214.041250|+51.367222|5350| 21Iot Boo|125161| 9198|Iot Boo  |14 16 09.9|+51 22 02| 4.75| 0.20|  A9V               |*
214.095833|+46.088333|5351| 19Lam Boo|125162|     | 6611    |14 16 23.0|+46 05 18| 4.18| 0.08|  A0p               |*
214.368333|+15.263333|5352|          |125180|     | 6613    |14 17 28.4|+15 15 48| 5.80| 1.71|  M3IIIa            |
214.502500| -7.542500|5353|          |125184|     |         |14 18 00.6|-07 32 33| 6.47| 0.73|  G5IV              |*
214.850833|-46.057778|5354|   Iot Lup|125238|     | 6620    |14 19 24.2|-46 03 28| 3.55|-0.18|  B2.5IV            |*
214.659583|-18.716111|5355|          |125248|     |CS Vir   |14 18 38.3|-18 42 58| 5.90| 0.00|  A0pCrEu           |*
214.753333|-25.815556|5356|          |125276| 9212|         |14 19 00.8|-25 48 56| 5.87| 0.50|  F5V               |*
214.849583|-37.003611|5357|          |125283|     |         |14 19 23.9|-37 00 13| 5.94| 0.08|  A2Vn              |
215.081250|-56.386667|5358|          |125288|     |         |14 20 19.5|-56 23 12| 4.33| 0.12|  B6Ib              |*
214.777500|-13.371111|5359|100Lam Vir|125337|     | 6621    |14 19 06.6|-13 22 16| 4.52| 0.13|  A2m               |*
214.337917|+51.307222|5360|          |125349|     |         |14 17 21.1|+51 18 26| 6.20| 0.04|  A2IV              |
214.499167|+35.509444|5361|          |125351|     |         |14 17 59.8|+35 30 34| 4.81| 1.06|  K0III             |*
215.040417|-43.058889|5362|          |125383|     |         |14 20 09.7|-43 03 32| 5.56| 0.92|  G8III             |
214.455000|+48.001667|5363|          |125406|     |         |14 17 49.2|+48 00 06| 6.32| 0.44|  F5                |
215.177083|-45.187222|5364|          |125442|     |         |14 20 42.5|-45 11 14| 4.77| 0.31|  F0IV              |
214.817917|+13.004167|5365| 18    Boo|125451|     |         |14 19 16.3|+13 00 15| 5.41| 0.38|  F5IV              |*
214.885417| -2.265556|5366|102Ups Vir|125454|     | 6629    |14 19 32.5|-02 15 56| 5.14| 1.02|  G9III             |
215.139167|-37.885278|5367|   Psi Cen|125473|     |         |14 20 33.4|-37 53 07| 4.05|-0.03|  A0IV              |
214.920417| +0.384167|5368|          |125489|     | 6630    |14 19 40.9|+00 23 03| 6.19| 0.20|  A7V               |
214.732083|+38.767500|5369|          |125538|     |         |14 18 55.7|+38 46 03| 6.86| 1.06|  G9IV              |
214.938333|+16.306944|5370| 20    Boo|125560|     | 6631    |14 19 45.2|+16 18 25| 4.86| 1.23|  K3III             |*
215.654167|-58.459444|5371|          |125628|     |         |14 22 37.0|-58 27 34| 4.92| 0.86|  G8III+F5V         |*
214.732500|+54.864167|5372|          |125632|     |         |14 18 55.8|+54 51 51| 6.53|     |  A5Vn              |
214.948750|+38.793889|5373|          |125642|     |         |14 19 47.7|+38 47 38| 6.33| 0.05|  A2V               |*
215.036250|+30.429167|5374|          |125658|     | 6633    |14 20 08.7|+30 25 45| 6.44| 0.15|  A5III             |
215.661250|-48.320278|5375|          |125721|     |         |14 22 38.7|-48 19 13| 6.09|-0.13|  B1III             |*
215.582083|-34.786944|5376|          |125745|     |         |14 22 19.7|-34 47 13| 5.56|-0.09|  B8V               |
215.834583|-50.772222|5377|          |125810|     |         |14 23 20.3|-50 46 20| 6.02| 1.36|  K2III             |
215.759167|-39.512222|5378|          |125823|     |V761 Cen |14 23 02.2|-39 30 44| 4.42|-0.18|  B7IIIp            |*
216.276250|-68.195278|5379|          |125835|     |         |14 25 06.3|-68 11 43| 5.61| 0.49|  A3Ib              |
215.951667|-53.176667|5380|          |125869|     |         |14 23 48.4|-53 10 36| 6.00| 1.10|  K1III             |
215.774167|-27.753889|5381| 51    Hya|125932|     | 6648    |14 23 05.8|-27 45 14| 4.77| 1.31|  K4III             |*
216.414583|-66.173333|5382|          |125990|     |         |14 25 39.5|-66 10 24| 6.36| 0.13|  A3V               |
215.856667|-11.714167|5383|  2    Lib|126035|     |         |14 23 25.6|-11 42 51| 6.21| 0.99|  G7III             |
215.813750| +1.241667|5384|          |126053|     |         |14 23 15.3|+01 14 30| 6.27| 0.63|  G1V               |
215.844167| +8.445000|5385|          |126128| 9247|         |14 23 22.6|+08 26 42| 6.86| 0.43|  F0V+F2V           |*
215.844583| +8.446667|5386|          |126129| 9247|         |14 23 22.7|+08 26 48| 5.12|-0.02|  A0V               |*
215.778333|+25.338056|5387|          |126141|     | 6653    |14 23 06.8|+25 20 17| 6.22| 0.37|  F5V               |
216.003750| +8.243611|5388|          |126200|     | 6654    |14 24 00.9|+08 14 37| 5.95| 0.06|  A3V               |*
217.403333|-76.729167|5389|          |126209|     |         |14 29 36.8|-76 43 45| 6.07| 1.18|  K0-1III           |
216.202500|-24.806389|5390|          |126218|     |         |14 24 48.6|-24 48 23| 5.32| 0.96|  G8III             |
216.779583|-65.821667|5391|          |126241|     |         |14 27 07.1|-65 49 18| 5.85| 1.50|  K3III             |
216.047083| +5.820000|5392|          |126248|     |         |14 24 11.3|+05 49 12| 5.10| 0.12|  A5V               |
216.170417|-11.669722|5393|          |126251| 9254|         |14 24 40.9|-11 40 11| 6.49| 0.42|  F4III             |*
216.076250| +8.085000|5394|          |126271|     | 6655    |14 24 18.3|+08 05 06| 6.19| 1.20|  K4III             |*
216.534167|-45.221389|5395|   Tau1Lup|126341|     |Tau1 Lup |14 26 08.2|-45 13 17| 4.56|-0.15|  B2IV              |*
216.545000|-45.379444|5396|   Tau2Lup|126354|     |         |14 26 10.8|-45 22 46| 4.35| 0.43|  F4IV+A7:          |*
216.374167|-19.969722|5397|          |126367| 9258|         |14 25 29.8|-19 58 11| 6.61| 0.14|  A2V               |*
216.555833|-42.319167|5398|          |126386|     |         |14 26 13.4|-42 19 09| 6.32| 1.19|  K2III             |
216.448750|-26.852500|5399|          |126400|     |         |14 25 47.7|-26 51 09| 6.48| 0.94|  G7IV              |
216.707917|-39.873889|5400|          |126475|     |         |14 26 49.9|-39 52 26| 6.35|-0.08|  B7IV              |
216.800833|-46.134444|5401|          |126504|     |         |14 27 12.2|-46 08 04| 5.83| 0.31|  A1mA5/7-F2        |*
216.371667|+38.393056|5402|          |126597|     |         |14 25 29.2|+38 23 35| 6.27| 1.23| gK2                |
217.181250|-59.197778|5403|          |126610|     |         |14 28 43.5|-59 11 52| 6.45| 0.14|  A0II-III          |*
216.299167|+51.850833|5404| 23The Boo|126660|     | 6669    |14 25 11.8|+51 51 03| 4.05| 0.50|  F7V               |*
216.614167|+19.226944|5405| 22    Boo|126661|     |         |14 26 27.4|+19 13 37| 5.39| 0.23|  F0m               |
216.851667| -6.120278|5406|104    Vir|126722|     |         |14 27 24.4|-06 07 13| 6.17| 0.09|  A2IV              |
217.043333|-29.491667|5407| 52    Hya|126769| 9270| 6674    |14 28 10.4|-29 29 30| 4.97|-0.07|  B8V               |*
217.818750|-67.717222|5408|          |126862|     |         |14 31 16.5|-67 43 02| 5.83| 1.00|  K1III             |
217.050417| -2.228056|5409|105Phi Vir|126868| 9273| 6675    |14 28 12.1|-02 13 41| 4.81| 0.70|  G2IV              |*
217.173750| -6.900556|5410|106    Vir|126927|     |         |14 28 41.7|-06 54 02| 5.42| 1.49|  K5III             |
216.863750|+41.025000|5411|          |126943|     |         |14 27 27.3|+41 01 30| 6.63| 0.37|  F1IV              |
217.535833|-45.321667|5412|          |126981|     |         |14 30 08.6|-45 19 18| 5.50|-0.08|  B8Vn              |*
217.587083|-49.519167|5413|          |126983|     |         |14 30 20.9|-49 31 09| 5.37| 0.05|  A1V+B             |*
217.131250|+28.289167|5414|          |127043| 9277|         |14 28 31.5|+28 17 21| 7.62|-0.01|  A1V               |*
217.138750|+28.290833|5415|          |127067| 9277|         |14 28 33.3|+28 17 27| 7.12|-0.03|  A1V               |*
217.068333|+36.196944|5416|          |127065|     |         |14 28 16.4|+36 11 49| 6.10|     |  K0III             |
217.735417|-40.845000|5417|          |127152|     |         |14 30 56.5|-40 50 42| 6.39| 1.44|  K3III             |
217.460417| +0.828889|5418|          |127167|     |         |14 29 50.5|+00 49 44| 5.94| 0.16|  A5IV              |
217.795000|-38.869722|5419|          |127193|     |         |14 31 10.8|-38 52 11| 5.97| 1.06|  K1III             |
217.157500|+49.844722|5420| 24    Boo|127243|     |         |14 28 37.8|+49 50 41| 5.59| 0.85|  G3IV              |
218.137083|-56.887778|5421|          |127297|     |V Cen    |14 32 32.9|-56 53 16| 6.93| 0.91|  F5Ia              |*
217.457083|+31.791111|5422|          |127304| 9288|         |14 29 49.7|+31 47 28| 6.06|-0.03|  A0V s             |*
217.403333|+41.795833|5423|          |127334|     |         |14 29 36.8|+41 47 45| 6.35| 0.70|  G5V               |
217.689167| +4.772222|5424|          |127337|     |         |14 30 45.4|+04 46 20| 6.02| 1.42| gK4                |*
218.153750|-50.456944|5425|   Sig Lup|127381|     |         |14 32 36.9|-50 27 25| 4.42|-0.19|  B2III             |*
218.385000|-54.998333|5426|          |127486|     |         |14 33 32.4|-54 59 54| 5.87| 0.48|  F6IV-V            |
218.374583|-52.680000|5427|          |127501|     |         |14 33 29.9|-52 40 48| 5.87| 1.09|  K0III             |
218.290000|-30.714167|5428|          |127624|     |         |14 33 09.6|-30 42 51| 6.09| 1.03|  K0III             |
217.957500|+30.371389|5429| 25Rho Boo|127665| 9296| 6697    |14 31 49.8|+30 22 17| 3.58| 1.30|  K3-III            |
216.881250|+75.696111|5430|  5    UMi|127700| 9286| 6687    |14 27 31.5|+75 41 46| 4.25| 1.44|  K4-IIIBa0.3       |*
218.533333|-42.099722|5431|          |127716|     |         |14 34 08.0|-42 05 59| 6.60| 0.06|  A2IV              |
218.821667|-60.015833|5432|          |127724|     |         |14 35 17.2|-60 00 57| 6.40| 1.26|  K2III             |
218.084167|+26.677222|5433|          |127726| 9301| 6699    |14 32 20.2|+26 40 38| 6.01| 0.22|  A7Vn              |*
218.135417|+22.260000|5434| 26    Boo|127739|     |         |14 32 32.5|+22 15 36| 5.92| 0.35|  F2IV              |*
218.019583|+38.308333|5435| 27Gam Boo|127762| 9300|Gam Boo  |14 32 04.7|+38 18 30| 3.03| 0.19|  A7III             |*
217.692083|+63.185556|5436|          |127821|     |         |14 30 46.1|+63 11 08| 6.09| 0.41|  F4IV              |
217.928333|+60.225556|5437|          |127929|     |         |14 31 42.8|+60 13 32| 6.27| 0.24|  F0III             |
218.711250|-20.439167|5438|          |127964|     |         |14 34 50.7|-20 26 21| 6.50| 0.14|  A4V               |
218.881250|-41.517222|5439|          |127971|     |         |14 35 31.5|-41 31 02| 5.87|-0.08|  B7V               |*
218.876667|-42.157778|5440|   Eta Cen|127972|     |Eta Cen  |14 35 30.4|-42 09 28| 2.31|-0.19|  B1.5Vne           |*
218.334583|+36.959444|5441|          |127986|     |CP Boo   |14 33 20.3|+36 57 34| 6.43|     |  F8IV w            |*
218.128750|+55.397778|5442|          |128000|     |         |14 32 30.9|+55 23 52| 5.76| 1.50| gK5                |
219.442917|-67.932222|5443|          |128020|     |         |14 37 46.3|-67 55 56| 6.04| 0.50|  F7V               |
219.079167|-46.245278|5444|          |128068|     | 6724    |14 36 19.0|-46 14 43| 5.55| 1.48|  K3III             |*
218.548750|+32.534444|5445|          |128093|     |         |14 34 11.7|+32 32 04| 6.33| 0.40|  F5V               |
219.100833|-39.597222|5446|          |128152|     |         |14 36 24.2|-39 35 50| 6.13| 1.05|  K1III             |
218.670000|+29.745000|5447| 28Sig Boo|128167|     | 6717    |14 34 40.8|+29 44 42| 4.46| 0.36|  F2V               |*
218.660417|+36.625833|5448|          |128198|     | 6718    |14 34 38.5|+36 37 33| 6.03| 1.38| gK5                |
219.184167|-40.211667|5449|          |128207|     |         |14 36 44.2|-40 12 42| 5.74|-0.12|  B8n               |
219.333750|-46.133889|5450|          |128266|     |         |14 37 20.1|-46 08 02| 5.41| 1.01|  G8III             |*
218.566250|+57.065278|5451|          |128332|     |         |14 34 15.9|+57 03 55| 6.48| 0.49|  F6-8V             |*
218.665000|+49.368333|5452|          |128333|     |CH Boo   |14 34 39.6|+49 22 06| 5.74| 1.56|  M1IIIab           |*
219.471667|-49.425833|5453|   Rho Lup|128345|     | 6733    |14 37 53.2|-49 25 33| 4.05|-0.15|  B5V               |*
219.028750|+23.250278|5454|          |128402|     |         |14 36 06.9|+23 15 01| 6.38| 1.06|  K0                |
219.249167|-12.305278|5455|          |128429|     |         |14 36 59.8|-12 18 19| 6.20| 0.46|  F5V               |
219.581667|-38.794167|5456|          |128488|     |         |14 38 19.6|-38 47 39| 6.02| 1.43|  K3III             |
219.795833|-46.584167|5457|          |128582|     |         |14 39 11.0|-46 35 03| 6.07| 0.51|  F7V               |
219.852917|-49.055556|5458|          |128617|     |         |14 39 24.7|-49 03 20| 6.39| 0.44|  F3IV              |*
219.899583|-60.835278|5459|   Alp1Cen|128620|     |         |14 39 35.9|-60 50 07|-0.01| 0.71|  G2V               |*
219.900417|-60.835556|5460|   Alp2Cen|128621|     |         |14 39 36.1|-60 50 08| 1.33| 0.88|  K1V               |*
220.136667|-56.440833|5461|          |128713|     |         |14 40 32.8|-56 26 27| 6.30| 1.18|  K0-1II            |
219.558333|+18.298333|5462|          |128750|     |         |14 38 14.0|+18 17 54| 5.91| 1.10| gK2                |
220.626667|-64.975278|5463|   Alp Cir|128898|     |Alp Cir  |14 42 30.4|-64 58 31| 3.19| 0.24|  ApSrEuCr:         |*
219.552083|+43.641944|5464|          |128902|     |         |14 38 12.5|+43 38 31| 5.70| 1.48|  K2III             |
220.482083|-58.616111|5465|          |128917|     |         |14 41 55.7|-58 36 58| 6.22| 0.45|  F4V               |
220.255833|-36.135000|5466|          |128974|     |         |14 41 01.4|-36 08 06| 5.67|-0.08|  A0p:              |
219.563333|+54.023333|5467|          |128998|     |         |14 38 15.2|+54 01 24| 5.85|-0.01|  A1V               |
219.709167|+44.404444|5468| 33    Boo|129002|     |         |14 38 50.2|+44 24 16| 5.39| 0.00|  A1V               |
220.482500|-47.388333|5469|   Alp Lup|129056|     |Alp Lup  |14 41 55.8|-47 23 18| 2.30|-0.20|  B1.5III/Vn        |*
221.965000|-79.044722|5470|   Alp Aps|129078|     |         |14 47 51.6|-79 02 41| 3.83| 1.43|  K3IIIa            |
220.490000|-37.793611|5471|          |129116|     |         |14 41 57.6|-37 47 37| 4.00|-0.17|  B3V               |*
220.091250|+21.975556|5472|          |129132|     |         |14 40 21.9|+21 58 32| 6.10| 0.40|  G0V               |*
220.176667|+13.534167|5473|          |129153|     |         |14 40 42.4|+13 32 03| 5.91| 0.21|  F0V               |*
220.462917|-30.933333|5474|          |129161|     |         |14 41 51.1|-30 56 00| 6.37|-0.09|  ApSi              |
220.181667|+16.418333|5475| 29Pi 1Boo|129174| 9338| 6762    |14 40 43.6|+16 25 06| 4.94|-0.03|  B9pMnHgSi         |*
220.182917|+16.417778|5476| 29Pi 2Boo|129175| 9338| 6763    |14 40 43.9|+16 25 04| 5.88| 0.24|  A6V               |*
220.287083|+13.728333|5477| 30Zet Boo|129246| 9343| 6766    |14 41 08.9|+13 43 42| 4.83|     |  A2III             |*
220.287083|+13.728333|5478| 30Zet Boo|129247| 9343| 6766    |14 41 08.9|+13 43 42| 4.43| 0.05|  A2III             |*
218.409583|+79.660278|5479|          |129245|     |         |14 33 38.3|+79 39 37| 6.26| 1.30|  K3III             |*
220.411667| +8.161667|5480| 31    Boo|129312|     | 6769    |14 41 38.8|+08 09 42| 4.86| 1.00|  G7+IIIHdel -0.5   |
220.431250|+11.660556|5481| 32    Boo|129336|     |         |14 41 43.5|+11 39 38| 5.56| 0.94|  G8III             |*
221.322083|-62.875833|5482|          |129422|     |         |14 45 17.3|-62 52 33| 5.36| 0.29|  A9V               |*
220.475833|+21.123611|5483|          |129430|     |         |14 41 54.2|+21 07 25| 6.38|     |  G8III-IV          |*
220.806667|-24.997500|5484|  4    Lib|129433|     |         |14 43 13.6|-24 59 51| 5.73|-0.01|  B9                |*
220.914167|-35.173611|5485|          |129456|     |         |14 43 39.4|-35 10 25| 4.05| 1.35|  K3IIIb            |*
221.231250|-58.477778|5486|          |129462|     |         |14 44 55.5|-58 28 40| 6.11| 1.02|  K0III             |
220.765000| -5.658333|5487|107Mu  Vir|129502|     |         |14 43 03.6|-05 39 30| 3.88| 0.38|  F2III             |*
221.295417|-55.601944|5488|          |129557|     |BU Cir   |14 45 10.9|-55 36 07| 6.10|-0.06|  B2III             |*
221.246667|-35.191944|5489|          |129685|     |         |14 44 59.2|-35 11 31| 4.92| 0.01|  A0V               |
220.855833|+26.527778|5490| 34    Boo|129712|     |W Boo    |14 43 25.4|+26 31 40| 4.81| 1.66|  M3-III            |*
232.079583|-88.133056|5491|          |129723|     |BP Oct   |15 28 19.1|-88 07 59| 6.48| 0.30|  Am                |*
220.513333|+61.261944|5492|          |129798| 9357|DL Dra   |14 42 03.2|+61 15 43| 6.25| 0.41|  F2V               |*
220.935000|+40.459167|5493|          |129846|     |         |14 43 44.4|+40 27 33| 5.73| 1.39|  K4III             |
221.621250|-47.441111|5494|          |129858|     |         |14 46 29.1|-47 26 28| 5.74| 0.07|  A1V               |
221.755417|-52.383611|5495|          |129893|     |         |14 47 01.3|-52 23 01| 5.21| 0.98|  G8III             |
221.298750| -1.417778|5496|          |129902|     |         |14 45 11.7|-01 25 04| 6.07| 1.61|  M1III             |*
221.500417|-25.443056|5497| 54    Hya|129926| 9375|         |14 46 00.1|-25 26 35| 4.94| 0.35|  F2III-IV          |*
221.801250|-52.205556|5498|          |129932|     |         |14 47 12.3|-52 12 20| 6.07| 0.09|  A1III-IV          |
221.528333|-23.153056|5499|          |129944|     |         |14 46 06.8|-23 09 11| 5.81| 0.98| gG5                |
222.185000|-66.593889|5500|          |129954|     |         |14 48 44.4|-66 35 38| 5.91|-0.07|  B2.5Ve            |*
221.375833| +0.717222|5501|108    Vir|129956|     |         |14 45 30.2|+00 43 02| 5.69|-0.03|  B9.5V             |
221.310417|+16.964444|5502| 35Omi Boo|129972|     |         |14 45 14.5|+16 57 52| 4.60| 0.98|  G8.5III           |*
221.490833|-15.459722|5503|  5    Lib|129978| 9376|         |14 45 57.8|-15 27 35| 6.33| 1.19|  K1III             |
221.545417|-21.176111|5504|          |129980|     |         |14 46 10.9|-21 10 34| 6.40| 0.58|  F7V               |*
221.246667|+27.075000|5505| 36Eps Boo|129988| 9372|         |14 44 59.2|+27 04 30| 5.12|     |  A2V               |*
221.246667|+27.074167|5506| 36Eps Boo|129989| 9372|         |14 44 59.2|+27 04 27| 2.70| 0.97|  K0-II-III         |*
221.336250|+18.884722|5507|          |130025|     |         |14 45 20.7|+18 53 05| 6.13| 0.83|  K0                |
221.771250|-38.290833|5508|          |130055|     |         |14 47 05.1|-38 17 27| 5.94| 1.33|  K3III             |*
221.883750|-43.557500|5509|          |130073|     |         |14 47 32.1|-43 33 27| 6.30| 1.08|  G8III             |
221.307083|+32.788333|5510|          |130084|     |         |14 45 13.7|+32 47 18| 6.28| 1.58|  M1IIIb            |
221.562083| +1.892778|5511|109    Vir|130109|     | 6794    |14 46 14.9|+01 53 34| 3.72|-0.01|  A0V               |
221.525000|+15.131944|5512|          |130144|     | 6796    |14 46 06.0|+15 07 55| 5.63| 1.57|  M5IIIab           |
221.807083|-21.324722|5513|          |130157|     |         |14 47 13.7|-21 19 29| 6.06| 1.65|  K5III             |
221.843750|-25.624444|5514| 55    Hya|130158|     |         |14 47 22.5|-25 37 28| 5.63|     |  A0IIIp            |*
222.278750|-56.667778|5515|          |130227|     | 6807    |14 49 06.9|-56 40 04| 6.23| 1.13|  K1III             |*
221.936667|-26.087500|5516| 56    Hya|130259|     |         |14 47 44.8|-26 05 15| 5.24| 0.94|  G5III             |
221.989583|-26.646389|5517| 57    Hya|130274|     |         |14 47 57.5|-26 38 47| 5.77|-0.02|  B9V               |
221.978750|-12.839722|5518|          |130325|     |         |14 47 54.9|-12 50 23| 6.35| 1.10|  K0III             |*
